section,parameter,get-wfs-eq,feature-extraction-SY,feature-extraction-EQ,feature-extraction-TR,feature-engineer,train-SY,train-EQ,predict,site
io,output_dir,1,1,1,1,1,1,1,1,1
io,overwrite,1,1,1,1,1,1,1,1,1
performance,max_workers,1,0,1,1,1,1,1,0,0
projection,epsg,0,0,0,0,0,1,0,0,0
preprocess,inventory,0,0,1,1,0,0,0,0,0
preprocess,decimation_factor,0,0,1,1,0,0,0,0,0
preprocess,freqmin,0,0,1,1,0,0,0,0,0
preprocess,freqmax,0,0,1,1,0,0,0,0,0
amplitude,channels_csv,1,1,1,1,1,1,1,1,1
amplitude,bands,0,1,1,1,0,1,1,1,1
amplitude,order,0,0,1,1,0,0,0,0,0
engineer,amp_folder,0,0,0,0,1,1,1,0,1
engineer,ratio_same_station,0,0,0,0,1,1,1,1,0
engineer,ratio_diff_bands,0,0,0,0,1,1,1,1,0
engineer,transformations,0,0,0,0,1,1,1,1,0
dataset,catalog,1,1,1,0,0,0,0,0,0
dataset,magnitude_min,1,1,1,0,0,1,1,0,1
dataset,magnitude_max,1,1,1,0,0,1,1,0,1
dataset,n_events,1,1,1,0,0,1,1,0,1
dataset,pre,1,0,0,0,0,0,0,0,0
dataset,pos,1,0,0,0,0,0,0,0,0
dataset,wfs_dir,0,0,1,0,0,0,0,0,0
synth,Q,0,1,0,0,0,1,0,0,0
synth,f,0,1,0,0,0,1,0,0,0
synth,beta,0,1,0,0,0,1,0,0,0
synth,alpha,0,1,0,0,0,1,0,0,0
synth,lonmin,0,0,0,0,0,1,0,0,0
synth,lonmax,0,0,0,0,0,1,0,0,0
synth,latmin,0,0,0,0,0,1,0,0,0
synth,latmax,0,0,0,0,0,1,0,0,0
synth,zmin,0,0,0,0,0,1,0,0,0
synth,zmax,0,0,0,0,0,1,0,0,0
synth,step,0,0,0,0,0,1,0,0,0
synth,z_plot,0,0,0,0,0,1,0,0,0
train,test_size,0,0,0,0,0,1,1,0,0
train,random_state,0,0,0,0,0,1,1,0,0
train,feat_folder,0,0,0,0,0,0,0,0,0
tremor,wfs_dir,0,0,0,1,0,0,0,0,0
tremor,window_length,0,0,0,1,0,0,0,0,0
tremor,overlap,0,0,0,1,0,0,0,0,0
tremor,startdate,0,0,0,1,0,0,0,0,0
tremor,enddate,0,0,0,1,0,0,0,0,0
predict,model_dir,0,0,0,0,0,0,0,1,0
predict,data_file,0,0,0,0,0,0,0,1,0
